effective_build_year,net_area,basement_finished,has_garage,has_fireplace,house_number,fully_taxable,building_count,walkout_basement,air_conditioning,tot_gross_area_description,lot_size,property_type,assessed_value
1970,492.37,0,0,0,5849,1,1,0,0,492.37,910.444,COMMERCIAL,999500
1970,307.7,1,1,1,8203,1,1,0,1,352,1370.155,RESIDENTIAL,999500
1982,281.02,0,0,0,1098,1,1,0,0,281.02,4040,INDUSTRIAL,999500
2012,162,1,1,1,3406,1,1,0,1,243.3,661.806,RESIDENTIAL,999500
1976,0,0,0,0,7028,1,0,0,0,0,4076.181,INDUSTRIAL,999000
2008,327.6,0,1,1,827,1,1,1,1,396.1,566.124,RESIDENTIAL,999000
1992,387.7,0,1,1,5104,1,1,0,0,468.52,1084.87,RESIDENTIAL,998000
1983,325.18,0,1,1,5316,1,1,0,1,383.58,1002.463,RESIDENTIAL,998000
2003,286.1,1,1,1,247,1,1,1,1,377.1,2064.686,RESIDENTIAL,998000
1990,317.2,1,1,1,443,1,1,1,0,399.9,766.98,RESIDENTIAL,998000
1992,304.71,1,1,1,414,1,1,0,0,366.5,1342.474,RESIDENTIAL,998000
1970,1072.5,0,0,0,10204,1,1,0,0,1072.5,1225.689,COMMERCIAL,997500
2010,326.2,1,1,1,9008,1,1,1,0,398.3,1041.159,RESIDENTIAL,997500
1975,174.193,0,0,0,8635,1,1,0,0,174.193,4646.324,INDUSTRIAL,997500
1999,160.3,1,1,0,10340,1,1,1,0,204.8,610.056,RESIDENTIAL,997500
2004,196.9,1,1,1,1524,1,1,1,0,291.4,753.927,RESIDENTIAL,997000
2013,293.9,0,1,1,4545,1,1,0,0,363.2,607.043,RESIDENTIAL,997000
1972,237.5,1,1,1,8743,1,1,0,1,289.5,667.646,RESIDENTIAL,997000
1984,758.993,0,0,0,12204,1,1,0,1,785.841,919.269,COMMERCIAL,996500
2013,304,0,1,1,9035,1,1,1,0,364.8,844.739,RESIDENTIAL,996500
1966,245.63,1,1,1,13903,1,1,0,0,303.03,1569.49,RESIDENTIAL,996500
2010,249.8,0,1,1,4328,1,1,0,0,328.5,1008.277,RESIDENTIAL,996500
1970,263.5,1,1,1,8724,1,1,0,0,316.42,961.986,RESIDENTIAL,996000
1998,260,0,1,1,14603,1,1,0,0,316.2,607.323,RESIDENTIAL,996000
2004,225.32,0,1,1,8707,1,1,0,0,316.32,553.902,RESIDENTIAL,995500
1969,242.86,1,1,1,13607,1,1,0,0,291.64,780.664,RESIDENTIAL,995500
1957,236.71,1,0,1,21611,0,6,0,0,1991.509,53519.17308,AGRICULTURE,995500
